,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,Salem,11.65,78.17,84.2,66,40,4.7,IN,1592448719
172,Buraidah,26.33,43.98,78.8,29,0,9.17,SA,1592448719
173,Turukhansk,65.82,87.98,41.88,92,100,11.59,RU,1592448421
174,Shache,38.42,77.24,81.7,19,0,5.32,CN,1592448719
175,The Valley,18.22,-63.06,82.99,74,20,11.41,AI,1592448719
176,Meulaboh,4.14,96.13,84.38,63,91,1.97,ID,1592448419
177,Pisco,-13.7,-76.22,62.6,88,17,11.41,PE,1592448418
178,San Andrés,12.58,-81.7,84.2,79,75,12.75,CO,1592448453
179,Srednekolymsk,67.45,153.68,87.85,19,15,4.29,RU,1592448430
180,Hambantota,6.12,81.12,80.6,100,40,8.05,LK,1592448432
181,Zhob,31.34,69.45,87.03,13,0,3.51,PK,1592448719
182,Kīhei,20.79,-156.47,89.6,43,40,18.34,US,1592448719
183,Mahibadhoo,3.78,72.97,83.86,76,77,5.26,MV,1592448719
184,Hermanus,-34.42,19.23,48.99,82,0,1.01,ZA,1592448410
185,Nanortalik,60.14,-45.24,37.85,84,63,8.39,GL,1592448456
186,Olafsvik,64.89,-23.71,47.71,79,100,14.81,IS,1592448453
187,Opuwo,-18.06,13.84,52.75,57,0,9.01,NA,1592448719
188,Portland,45.52,-122.68,72.0,46,75,8.05,US,1592448409
189,Limbaži,57.51,24.72,64.99,95,31,2.93,LV,1592448719
190,Hofn,64.25,-15.21,46.96,71,26,8.95,IS,1592448417
191,Bāglung,28.27,83.59,75.31,74,98,1.14,NP,1592448719
192,Douglas,41.3,-96.17,82.4,61,1,13.87,US,1592448579
193,Sioux Lookout,50.1,-91.92,80.6,54,20,8.05,CA,1592448415
194,Kendal,54.33,-2.75,57.0,88,100,1.01,GB,1592448719
195,Prince Rupert,54.32,-130.32,57.2,82,90,2.24,CA,1592448419
196,Madimba,-10.4,40.33,71.76,71,14,13.29,TZ,1592448720
197,Lakes Entrance,-37.88,147.98,57.0,69,3,1.99,AU,1592448720
198,Klaksvík,62.23,-6.59,48.2,100,100,3.36,FO,1592448720
199,Luganville,-15.53,167.17,80.6,83,90,9.17,VU,1592448720
